name,description,price,quantity,category
Laptop Pro X1,High-performance laptop with SSD,1299.99,25,Electronics
Wireless Mouse M1,Ergonomic wireless mouse,29.99,100,Accessories
Gaming Keyboard K1,Mechanical RGB gaming keyboard,149.99,50,Gaming
Office Chair C1,Adjustable ergonomic office chair,199.99,30,Furniture
Monitor 27" M1,27-inch 4K LED monitor,399.99,40,Electronics
Headphones H1,Noise-canceling wireless headphones,179.99,60,Audio
Smartphone S1,Latest model smartphone,899.99,35,Electronics
Tablet T1,10-inch tablet with stylus,499.99,45,Electronics
Printer P1,Color laser printer,299.99,20,Office
Webcam W1,1080p HD webcam,79.99,80,Accessories
Keyboard Stand K2,Adjustable keyboard stand,39.99,70,Accessories
Mouse Pad MP1,Extended gaming mouse pad,19.99,150,Gaming
Laptop Stand L1,Aluminum laptop stand,49.99,90,Accessories
USB Hub U1,7-port USB 3.0 hub,39.99,120,Electronics
Docking Station D1,Universal laptop docking station,159.99,40,Electronics
Wireless Charger W1,Fast wireless charging pad,29.99,100,Accessories
Bluetooth Speaker B1,Portable bluetooth speaker,89.99,55,Audio
External SSD E1,1TB portable SSD drive,149.99,60,Storage
HDMI Cable H1,4K HDMI 2.1 cable,19.99,200,Cables
Power Bank P1,20000mAh power bank,49.99,75,Accessories
Gaming Mouse G1,RGB gaming mouse with macros,69.99,85,Gaming
Microphone M1,USB condenser microphone,129.99,40,Audio
Camera C1,4K webcam for streaming,199.99,30,Electronics
Network Switch N1,8-port gigabit switch,59.99,45,Networking
Router R1,Dual-band WiFi 6 router,179.99,35,Networking
Keyboard K3,Wireless membrane keyboard,39.99,110,Accessories
Mouse M2,Basic optical mouse,14.99,200,Accessories
Monitor Stand MS1,Dual monitor stand,89.99,50,Accessories
Cable Organizer C1,Desk cable management system,24.99,150,Accessories
Laptop Bag L1,15-inch laptop messenger bag,59.99,70,Bags
Tablet Case T1,Protective tablet case,34.99,100,Accessories
Phone Stand P1,Adjustable phone stand,15.99,180,Accessories
Wireless Keyboard W2,Slim wireless keyboard,69.99,90,Accessories
Gaming Headset G2,7.1 surround gaming headset,129.99,45,Gaming
USB Cable U1,Braided USB-C cable,9.99,300,Cables
Monitor Light M2,Monitor mounted LED light,49.99,60,Accessories
Webcam Cover W2,Sliding webcam cover,5.99,400,Accessories
Laptop Cooler L2,Laptop cooling pad,29.99,80,Accessories
Bluetooth Adapter B1,USB bluetooth adapter,19.99,150,Accessories
Mouse Bungee MB1,Gaming mouse cord holder,24.99,100,Gaming
Keyboard Wrist Rest K4,Memory foam wrist rest,19.99,120,Accessories
Mouse Wrist Rest M3,Ergonomic mouse wrist rest,14.99,130,Accessories
Monitor Riser MR1,Wooden monitor riser,39.99,70,Furniture
Cable Sleeve CS1,Neoprene cable sleeve,12.99,200,Cables
USB Fan F1,USB powered desk fan,19.99,110,Accessories
Screen Cleaner S1,Screen cleaning kit,9.99,250,Accessories
Headphone Stand H2,Aluminum headphone stand,29.99,90,Accessories
Microphone Arm MA1,Adjustable microphone arm,39.99,60,Audio
Power Strip P2,Surge protector power strip,29.99,100,Electronics
Cable Clips C2,Adhesive cable clips pack,7.99,300,Accessories
